OBJECTID *,OBJECTID,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,Y,X,IAphysregionsv4,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,IA_DHPFP,Cedar,Nish,DesMoines,Iowa2,Missouri2
65,13404,NASIS,1968IA071050,43311,-95.722364,40.709967,48.799999,47.400002,3.8,Point,4510127,270031.2,8,1.940845,-1.549988,0.00081,10.30895,2,-338645.8,-10679.42,-200026.7,-273223.9,7990.62
66,13499,NCSS,S1961IA071001,3/23/1961,-95.70417,40.673611,13.3,72.4,14.3,Point,4506044,271444.2,15,22.661445,-49.54999,-0.003456,5.512327,3,-339986.8,-7647.875,-201375.3,-274393.6,6708.204
67,4961,NASIS,1973IA145009,41072,-95.309089,40.724092,27.700001,67.099998,5.2,Point,4510694,304987.2,14,0.450108,7.700012,0.000602,8.079554,1,-310898.1,24100,-171051,-244708.9,39438.18
68,14867,NCSS,S2013IA145001,4/30/2013,-95.131816,40.702746,32.3,65,2.7,Point,4507946,319900.2,13,4.002113,1.389954,0.000559,7.708197,3,-301508.3,39073.78,-160380.1,-235021.4,53300
69,5468,NASIS,1989IA173013,30655,-94.687867,40.713317,22,75.5,2.5,Point,4508303,357430.2,12,2.501709,-0.050049,0.000262,6.927969,2,-274807,76528.82,-132021.1,-208105.2,90500
70,5469,NASIS,1989IA173014,41081,-94.483556,40.713133,28.4,56.799999,14.8,Point,4507973,374689.2,12,5.291542,-0.030029,0.000183,6.53444,3,-261366.6,93321.48,-120753.7,-196939.9,107693.7
71,5858,NASIS,1984IA159002,30862,-94.4532,40.721289,28.700001,68.599998,2.7,Point,4508834,377269.2,12,0.725796,3.260071,0.000169,9.689615,1,-258767.8,95472.98,-118437.9,-194555.1,110363.1
72,2486,NASIS,Armstrong-IA053-01-02,39652,-93.808365,40.714416,27,68,5,Point,4507370,431722.2,12,3.108208,12.26996,0.003754,6.189836,3,-216595.5,145762.3,-91807.84,-165610.2,164524.9
73,2487,NASIS,Armstrong-IA053-01-03,39652,-93.808365,40.713779,30,65,5,Point,4507298,431722.2,12,2.620346,11.73004,0.001862,5.462203,2,-216625.2,145796.3,-91900.66,-165700,164519.7
74,3436,NASIS,Armstrong-IA053-01-01,39652,-93.808334,40.715,23,54,23,Point,4507436,431725.2,12,3.370979,10.03003,0.00277,6.806747,3,-216565.8,145728.4,-91715.05,-165520.3,164530.2
75,8629,NASIS,1990IA053050,41965,-93.700937,40.706167,27,<Null>,<Null>,Point,4506377,440788.2,12,1.027264,5.200012,0.000977,7.912537,1,-208236.5,154676.1,-89780.01,-162742.1,173566.5
76,2482,NASIS,Armstrong-IA053-02-01,39665,-93.581108,40.728333,27,63,10,Point,4508762,450928.2,12,1.765116,15.45001,0.000303,6.565323,2,-197895.8,163533.8,-85131.9,-156808.8,183772.3
77,2483,NASIS,Armstrong-IA053-02-03,39665,-93.579971,40.729389,28,47,25,Point,4508879,451024.2,12,2.946731,17.62994,0.005203,6.457213,3,-197769.2,163600,-85015.88,-156680.7,183877.6
78,2484,NASIS,Armstrong-IA053-02-02,39665,-93.580719,40.727112,27,68,5,Point,4508627,450958.2,12,2.637877,16.16003,0.004212,6.380339,2,-197927.7,163563.2,-85230.34,-156902.8,183766.9
79,603,NASIS,85IA1850061,31382,-93.491669,40.75,25,71,4,Point,4511123,458494.2,12,1.822471,2.089966,0.000504,11.29493,2,-189959.2,170178.9,-79105.12,-151756.5,191495.4
80,604,NASIS,85IA1850062,31382,-93.491669,40.75,30,66,4,Point,4511123,458494.2,12,1.822471,2.089966,0.000504,11.29493,2,-189959.2,170178.9,-79105.12,-151756.5,191495.4
81,13549,NCSS,S1962IA185002,10/16/1962,-93.394165,40.702221,30.5,66.3,3.2,Point,4505777,466702.2,12,2.294995,3.369995,0.000523,8.082914,2,-184041.4,179526.1,-77991.86,-152776.5,199422.9
82,13611,NCSS,S1962IA185001,10/15/1962,-93.384445,40.701946,25.7,71,3.3,Point,4505744,467521.2,12,1.98233,1.279968,0.00083,10.40836,2,-183294.8,180293.2,-77525.8,-152439.4,200222.4
