OBJECTID *,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,VDCN_10m,IA_DHPFP,Cedar,Nish,Iowa,DesMoines,Missouri,IAphysregionsv4,X_100,Y_100
1603,NASIS,S1969IA195002,25460,-93.401,43.3445,23.6,47.099998,29.299999,Point,0.966369,-4.070007,-0.000247,13.34982,18.26035,5,-36156.46,216055.6,54994.64,96661.73,247837.1,2,467515.5,4799174
1604,NASIS,S1966IA195001,24442,-93.299139,43.313222,22.200001,38.299999,39.5,Point,11.027196,1.160034,0.000007,7.757565,24.46317,3,-29371.07,218997,55076.86,100309.3,255776.2,2,475715.5,4795674
1605,NASIS,76IA195048,40555,-93.157288,43.342735,28,55.400002,16.6,Point,0.955431,1.98999,-0.000233,8.882834,4.00293,6,-17441.62,229314.7,63926.91,111254.9,267461.6,6,487215.5,4798874
1606,NASIS,1968IA131002,25180,-92.985482,43.298566,25.6,61.200001,13.2,Point,0.495096,2.02002,0.000072,9.026217,29.29843,1,-6940.461,236131.9,69662.04,119960.4,281143.8,6,501215.5,4793974
1607,NASIS,1968IA131097,25092,-92.870552,43.315388,16.200001,77.199997,6.6,Point,3.474554,9.320068,-0.00035,7.119401,28.53745,3,781.025,244383,77977.56,128904.9,290529.9,6,510515.5,4795874
1608,NASIS,1985IA131004,42332,-92.92999,43.341626,21.9,57.700001,20.4,Point,0.765078,0.980042,0.000088,8.42608,20.92023,1,-583.0952,242686,76221.84,126327.2,285912.2,6,505715.5,4798774
1609,NASIS,M63IA131031b,25605,-92.787575,43.341701,29.200001,63.5,7.3,Point,0.225009,0.880005,-0.000097,11.6237,18.92453,1,8005.623,251366,85043.05,136154.4,297388.5,6,517215.5,4798774
1610,NCSS,S1965IA089915,12/20/1966,-92.53757,43.32646,26,44.3,29.7,Point,1.054592,1.659973,0.000102,9.38878,12.65436,1,23517.02,266241.3,101125.7,153367.2,317560.7,6,537515.5,4797174
1611,NCSS,S1965IA089925,12/10/2014,-92.55413,43.33457,19.4,54.7,25.9,Point,1.579951,1.26001,-0.000343,12.70708,12.16199,4,22629.19,265670.7,100364.6,152502.5,316212.7,6,536115.5,4798074
1612,NCSS,S1965IA089903,12/9/2014,-92.47372,43.29904,19.2,38.5,42.3,Point,0.573898,-0.090027,-0.000789,9.401695,0.6875,6,27130.06,268641.1,104291,156796.5,322608.3,6,542715.5,4794174
1613,NASIS,S1956IA089010,20744,-92.353332,43.349445,29.6,46.5,23.9,Point,0.541994,-1.02002,-0.000246,9.177208,15.44409,5,38329.36,279843.5,115521.1,168012.6,332589.9,6,552415.5,4799874
1614,NASIS,1956IA089055,40296,-92.37767,43.344952,25.4,49.200001,25.4,Point,2.208181,-0.320007,-0.000139,7.471292,10.63919,4,36269.27,277869.4,113468.3,165943.3,330558.1,6,550415.5,4799274
1615,NCSS,S1956IA089011,10/17/1956,-92.36972,43.335556,14.9,52.3,32.8,Point,1.011497,3.349976,0.000679,8.417971,14.52649,1,36472.59,277855.1,113637.4,166143.6,331200.4,6,551115.5,4798274
